genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_encoded,song_length,genre_encoded
Movie,Chorus,Titlee Pyari Titlee,4PBWE5hmOPNGB2IFPvpQGV,0,0.78,0.606,159840,0.389,0.0,11,0.0529,-13.774,1,0.0316,94.089,4.0,0.848,2416,376.356,15
Classical,Pyotr Ilyich Tchaikovsky,"The Nutcracker - Ballet, Op.71, Act II: No. 14 - Pas de deux",2oUX4i8ByoaDrHHz9z5Bga,45,0.93,0.178,306533,0.152,0.953,7,0.099,-18.873,1,0.041,119.882,4.0,0.0796,10157,479.528,6
Blues,The Doobie Brothers,How Do the Fools Survive?,6JBxK6phuJU08nkbcQ8hHf,35,0.366,0.707,317427,0.561,0.00465,7,0.0575,-15.808,0,0.0309,102.939,4.0,0.904,12474,411.756,3
Jazz,Dinner Jazz Orchestra,Light Background Music for Trendy Dinner Parties,5GMrjT6IGNyxJWZcL1VzMe,35,0.926,0.662,140488,0.299,0.806,10,0.122,-14.096,0,0.0468,122.928,4.0,0.274,3366,491.712,14
Folk,George Harrison,My Sweet Lord,0qdQUeKVyevrbKhAo0ibxS,77,0.0794,0.538,281227,0.704,0.0,1,0.0867,-8.904,0,0.0332,120.963,4.0,0.583,4628,483.852,11
Rap,B.o.B,Is It War,7AQF5N3b0KpqcyvvtahQPW,57,0.136,0.622,120253,0.679,0.0,1,0.176,-6.216,1,0.108,170.017,4.0,0.265,1027,680.068,19
Jazz,Bill Frisell,Pipeline,5PBP5VRLIf2XfLedZr1suU,42,0.385,0.395,426173,0.691,0.903,9,0.132,-11.898,0,0.0392,128.879,4.0,0.0968,1422,515.516,14
Hip-Hop,Daddy Yankee,Donde Estan Las Gatas (feat. Nicky Jam),3Kemg5QPEhEjOiWUFrTkXX,72,0.194,0.836,170006,0.961,0.0,7,0.074,-2.679,0,0.0635,109.957,4.0,0.76,2934,439.828,12
Electronic,Waldeck,Memories,2LkzP4UHofktw5lHLbiFdT,53,0.413,0.876,230326,0.574,0.000184,0,0.19,-5.442,0,0.0694,96.002,4.0,0.647,13826,384.008,10
Folk,Dr. Hook,Sylvia's Mother,4hLk7Bjz1XJWNDiqovvgBW,57,0.691,0.304,228333,0.469,0.0,9,0.34,-12.71,1,0.0501,167.1,4.0,0.576,3524,668.4,11
Dance,Boyzone,Picture Of You,2AlVWg58iy4Cx6KqD0XYu2,65,0.109,0.768,206040,0.919,1.14e-06,0,0.366,-6.066,1,0.0416,116.649,4.0,0.862,1742,466.596,9
Blues,Cab Calloway,The Jumpin' Jive,0XudDOmAKd1O3yV7bFDLox,31,0.959,0.691,167360,0.379,0.00019,5,0.137,-15.171,0,0.124,90.232,4.0,0.748,2015,360.928,3
Soundtrack,Cliff Martinez,Placental Repair,674vtzJMmsCNCSJYW5uo5U,21,0.993,0.473,149000,0.0687,0.961,9,0.0754,-30.888,0,0.0498,133.313,3.0,0.0524,2587,399.93899999999996,25
Reggae,Natiruts,Naticongo - Ao Vivo,3LZsoJCKCTVKIgBR4AQE6u,51,0.172,0.47,215493,0.871,0.0,9,0.936,-5.609,0,0.0474,85.826,4.0,0.544,9091,343.304,20
Alternative,Rise Against,Behind Closed Doors,3wuJOi4N0Dd0QtBW0wZUwJ,46,0.000942,0.334,195120,0.976,5.1e-05,10,0.184,-3.471,0,0.0987,195.177,4.0,0.547,10566,780.708,1
Ska,Rancid,Red Hot Moon,3a0PmAzfzQfCZFGWkqQ2vi,51,0.0316,0.559,216001,0.955,0.0,0,0.123,-2.49,1,0.181,164.606,4.0,0.802,10304,658.424,23
Ska,Timo Pacheco,Cursi,5atBjF6n5UILcSUq4INTGZ,50,0.524,0.778,218609,0.631,0.0,2,0.0922,-5.814,0,0.0759,143.909,4.0,0.914,13201,575.636,23
Comedy,Patrice O'Neal,Good Karma (Jfl 2008),4tLyJkvSWRB20ICbeOFEX0,14,0.841,0.611,69706,0.569,0.0,2,0.859,-15.183,1,0.854,112.596,1.0,0.716,9749,112.596,7
Soundtrack,Marco Beltrami,Ueli Dies,1hn3ktmu95zQAMOJXKm5m7,26,0.966,0.089,228560,0.065,0.664,9,0.0601,-20.178,0,0.0396,166.554,1.0,0.0326,8157,166.554,25
Opera,Giacomo Puccini,"Puccini : Tosca : Act 2 ""Vissi d'arte"" [Tosca]",5G0vOl4UVLGg5pC3yT1DkY,9,0.981,0.223,194053,0.164,0.0,3,0.109,-18.105,1,0.0499,80.038,3.0,0.101,4678,240.11399999999998,16
R&B,Tinashe,Stuck With Me (feat. Little Dragon),4uOopYeRmPFd3taXfzEGP5,51,0.684,0.939,205787,0.455,0.00663,11,0.0903,-7.394,0,0.195,118.714,5.0,0.458,13205,593.5699999999999,18
World,New Creation Worship,Glorious & Beautiful (Instrumental),0L3OmyT3OICti4vM9EoZsS,31,0.522,0.473,449032,0.265,0.895,4,0.177,-19.451,1,0.0353,123.979,4.0,0.0365,9154,495.916,26
